   1    1947       1     JAN1947    15.2100
   2    1947       2     FEB1947    15.8000
   3    1947       3     MAR1947    15.1600
   4    1947       4     APR1947    14.6000
   5    1947       5     MAY1947    14.3400
   6    1947       6     JUN1947    14.8400
   7    1947       7     JUL1947    15.7700
   8    1947       8     AUG1947    15.4600
   9    1947       9     SEP1947    15.0600
  10    1947      10     OCT1947    15.4500
  11    1947      11     NOV1947    15.2700
  12    1947      12     DEC1947    15.0300
  13    1948       1     JAN1948    14.8300
  14    1948       2     FEB1948    14.1000
  15    1948       3     MAR1948    14.3000
  16    1948       4     APR1948    15.4000
  17    1948       5     MAY1948    16.1500
  18    1948       6     JUN1948    16.8200
  19    1948       7     JUL1948    16.4200
  20    1948       8     AUG1948    15.9400
  21    1948       9     SEP1948    15.7600
  22    1948      10     OCT1948    16.1900
  23    1948      11     NOV1948    15.2900
  24    1948      12     DEC1948    15.1900
  25    1949       1     JAN1949    15.3600
  26    1949       2     FEB1949    14.7700
  27    1949       3     MAR1949    14.9100
  28    1949       4     APR1949    14.8900
  29    1949       5     MAY1949    14.7800
  30    1949       6     JUN1949    13.9700
  31    1949       7     JUL1949    14.7600
  32    1949       8     AUG1949    15.2900
  33    1949       9     SEP1949    15.4900
  34    1949      10     OCT1949    15.8900
  35    1949      11     NOV1949    16.1100
  36    1949      12     DEC1949    16.5400
  37    1950       1     JAN1950    16.8800
  38    1950       2     FEB1950    17.2100
  39    1950       3     MAR1950    17.3500
  40    1950       4     APR1950    17.8400
  41    1950       5     MAY1950    18.4400
  42    1950       6     JUN1950    18.7400
  43    1950       7     JUL1950    17.3800
  44    1950       8     AUG1950    18.4300
  45    1950       9     SEP1950    19.0800
  46    1950      10     OCT1950    19.8700
  47    1950      11     NOV1950    19.8300
  48    1950      12     DEC1950    19.7500
  49    1951       1     JAN1951    21.2100
  50    1951       2     FEB1951    22.0000
  51    1951       3     MAR1951    21.6300
  52    1951       4     APR1951    21.9200
  53    1951       5     MAY1951    21.9300
  54    1951       6     JUN1951    21.5500
  55    1951       7     JUL1951    21.9300
  56    1951       8     AUG1951    22.8900
  57    1951       9     SEP1951    23.4800
  58    1951      10     OCT1951    23.3600
  59    1951      11     NOV1951    22.7100
  60    1951      12     DEC1951    23.4100
  61    1952       1     JAN1952    24.1900
  62    1952       2     FEB1952    23.7500
  63    1952       3     MAR1952    23.8100
  64    1952       4     APR1952    23.7400
  65    1952       5     MAY1952    23.7300
  66    1952       6     JUN1952    24.3800
  67    1952       7     JUL1952    25.0800
  68    1952       8     AUG1952    25.1800
  69    1952       9     SEP1952    24.7800
  70    1952      10     OCT1952    24.2600
  71    1952      11     NOV1952    25.0300
  72    1952      12     DEC1952    26.0400
  73    1953       1     JAN1953    26.1800
  74    1953       2     FEB1953    25.8600
  75    1953       3     MAR1953    25.9900
  76    1953       4     APR1953    24.7100
  77    1953       5     MAY1953    24.8400
  78    1953       6     JUN1953    23.9500
  79    1953       7     JUL1953    24.2900
  80    1953       8     AUG1953    24.3900
  81    1953       9     SEP1953    23.2700
  82    1953      10     OCT1953    23.9700
  83    1953      11     NOV1953    24.5000
